iter	MultiClass
0	1.018591412
1	0.9700075943
2	0.9418405317
3	0.9256846118
4	0.9087520814
5	0.9034037927
6	0.8915690173
7	0.884838603
8	0.8771597611
9	0.8718884767
10	0.8634815307
11	0.8587065928
12	0.8555622651
13	0.8500926504
14	0.8447507124
15	0.8415952415
16	0.8383643041
17	0.8341933333
18	0.8304709252
19	0.8286495981
20	0.8232630343
21	0.817034235
22	0.8142152797
23	0.8076091316
24	0.8048492925
25	0.7990678482
26	0.795879562
27	0.7912312322
28	0.7866816347
29	0.7817224585
30	0.7771393725
31	0.7746697145
32	0.7704611473
33	0.7649391462
34	0.7620525061
35	0.759855994
36	0.7566064393
37	0.7552370704
38	0.7542332297
39	0.751920879
40	0.7488098573
41	0.7467602345
42	0.7436868939
43	0.7411025355
44	0.7367738321
45	0.7335506094
46	0.7315224154
47	0.7285782286
48	0.7259761351
49	0.7220557311
50	0.7191594987
51	0.7165616734
52	0.713124411
53	0.7100423914
54	0.7070472303
55	0.7045752906
56	0.7028161132
57	0.7013304817
58	0.6997013183
59	0.6971831936
60	0.6943468976
61	0.6922560416
62	0.6899337914
63	0.6888817395
64	0.6878080495
65	0.6862503145
66	0.6830030989
67	0.6800801576
68	0.6792809158
69	0.677452141
70	0.6752646793
71	0.674409973
72	0.6735584783
73	0.6713645853
74	0.6688579082
75	0.6680559892
76	0.666246307
77	0.6646459275
78	0.6623743072
79	0.6608487928
80	0.6595274054
81	0.6585443528
82	0.6560686628
83	0.6552483985
84	0.6530590814
85	0.65191959
86	0.6506906818
87	0.648534989
88	0.6470432992
89	0.645331714
90	0.6437957178
91	0.6429257298
92	0.6425034363
93	0.6415842607
94	0.639903014
95	0.6376022522
96	0.6371441477
97	0.6349094478
98	0.634056066
99	0.6333042717
100	0.6317931896
101	0.6297818183
102	0.6283023908
103	0.6266705256
104	0.6248725486
105	0.6234698826
106	0.6230208871
107	0.6213623135
108	0.6199817326
109	0.618504371
110	0.6172647252
111	0.6160299945
112	0.6145960194
113	0.6134600564
114	0.6119405048
115	0.6104054557
116	0.6098415256
117	0.6082608161
118	0.6070239993
119	0.6061005463
120	0.6054423978
121	0.6038872318
122	0.6031289776
123	0.6020498258
124	0.6007177642
125	0.5993260936
126	0.599073189
127	0.5983303714
128	0.5972243598
129	0.5963261219
130	0.595789069
131	0.595215493
132	0.594635189
133	0.5941062677
134	0.5926970663
135	0.5914879865
136	0.5892726852
137	0.5879950068
138	0.5860839922
139	0.584631261
140	0.5839311619
141	0.5832851507
142	0.583061814
143	0.5827176322
144	0.5822706702
145	0.5813370549
146	0.58066558
147	0.5801783798
148	0.5798325699
149	0.5788832102
150	0.5784241392
151	0.577837838
152	0.576390641
153	0.575813209
154	0.5751109993
155	0.5726581078
156	0.5721329857
157	0.5708891751
158	0.5700005549
159	0.5695404033
160	0.5690091676
161	0.5681688239
162	0.567782593
163	0.5672230953
164	0.5662818309
165	0.5655417682
166	0.5647286145
167	0.5639933925
168	0.5634254669
169	0.5627934726
170	0.5623008849
171	0.5614727842
172	0.5609282574
173	0.5600757545
174	0.5591362279
175	0.5579284736
176	0.5570959893
177	0.5560639256
178	0.5547619824
179	0.5539500842
180	0.5532639659
181	0.5528124023
182	0.552238989
183	0.5517600395
184	0.5513366121
185	0.5503871447
186	0.5495681586
187	0.5492869099
188	0.5487206247
189	0.5476077715
190	0.5466267681
191	0.5463637049
192	0.5462683922
193	0.5457368438
194	0.5454254163
195	0.5449442842
196	0.5439521281
197	0.5431783453
198	0.5419675456
199	0.5414584323
