iter	Passed	Remaining
0	3	728
1	8	833
2	12	827
3	17	833
4	20	806
5	25	817
6	29	815
7	33	796
8	37	787
9	43	817
10	46	792
11	49	776
12	53	770
13	77	1024
14	82	1014
15	87	1000
16	91	983
17	96	975
18	100	961
19	123	1111
20	132	1130
21	139	1132
22	147	1132
23	155	1139
24	165	1157
25	181	1216
26	196	1256
27	202	1244
28	208	1232
29	215	1222
30	221	1207
31	227	1192
32	239	1212
33	245	1200
34	253	1192
35	259	1182
36	266	1173
37	274	1168
38	280	1159
39	287	1151
40	292	1134
41	298	1121
42	304	1111
43	310	1100
44	316	1088
45	321	1076
46	327	1064
47	332	1053
48	338	1042
49	343	1030
50	350	1023
51	356	1013
52	361	1003
53	376	1018
54	385	1016
55	391	1006
56	398	1000
57	405	992
58	412	986
59	420	980
60	427	973
61	435	968
62	442	962
63	450	957
64	457	949
65	465	945
66	472	937
67	479	929
68	487	924
69	511	949
70	520	946
71	529	941
72	538	936
73	546	930
74	554	924
75	562	918
76	569	909
77	576	902
78	584	894
79	592	888
80	599	880
81	614	884
82	622	877
83	631	872
84	639	865
85	648	859
86	655	851
87	664	845
88	672	838
89	681	832
90	703	843
91	714	838
92	723	832
93	731	825
94	739	817
95	747	809
96	755	802
97	763	794
98	771	786
99	778	778
100	793	777
101	801	770
102	809	762
103	817	754
104	824	746
105	839	744
106	847	736
107	856	729
108	863	720
109	871	712
110	879	705
111	899	706
112	908	699
113	913	689
114	918	678
115	923	668
116	926	657
117	942	654
118	950	646
119	958	638
120	966	630
121	974	623
122	982	615
123	988	605
124	993	596
125	999	586
126	1004	577
127	1009	567
128	1013	557
129	1027	553
130	1032	543
131	1037	534
132	1043	525
133	1046	515
134	1051	506
135	1056	496
136	1059	487
137	1064	478
138	1081	474
139	1086	465
140	1090	456
141	1094	446
142	1098	437
143	1103	428
144	1106	419
145	1110	410
146	1114	401
147	1118	393
148	1132	387
149	1137	379
150	1140	370
151	1144	361
152	1149	353
153	1163	347
154	1168	339
155	1174	331
156	1178	322
157	1182	314
158	1185	305
159	1190	297
160	1194	289
161	1204	282
162	1219	276
163	1224	268
164	1230	260
165	1247	255
166	1251	247
167	1255	239
168	1264	232
169	1268	223
170	1272	215
171	1277	207
172	1281	200
173	1285	192
174	1290	184
175	1294	176
176	1298	168
177	1302	160
178	1305	153
179	1309	145
180	1313	137
181	1317	130
182	1321	122
183	1324	115
184	1328	107
185	1332	100
186	1335	92
187	1372	87
188	1381	80
189	1390	73
190	1401	66
191	1409	58
192	1417	51
193	1425	44
194	1448	37
195	1459	29
196	1469	22
197	1492	15
198	1502	7
199	1512	0
