,ADQ1,ADQ101,ADQ102,ADQ103,ADQ2,ADQ3,ADQ4,ADQ5,ADQ7,ADQ8A1,ADQ8A2,ADQ8A3,ADQ8A4,ADQ8A5,ADQ8A6,ADQ8A7,ADQ8A8,ADQ9,Q1A1,Q1A2,Q21A1,Q21A2,Q21A7,Q22A3,Q2A11,Q2A12,Q2A2,Q5A5,Q8A1,Q8A3,Q8A4,Q8B1,Q8B3,Q8B4,Q9A1,Q9B1,Q32A01,Q32A02,Q32A03,Q32A04,Q32A05,Q32A06,Q32A07,Q32A08,Q32A09,Q32A10,Q32A11,Q32A12,Q32A13,Q32A14,Q32A15,Q32A16,Q32A17,Q32A18,Q32A19,Q32A20,Q32A21,Q32A22,년도
0,55,10,1,1,2,4,3,1,1,,,,,,,,,4,1,2,3,2,3,2,1,,2,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,2019
1,55,15,2,2,2,5,2,1,1,,,,,,,,,4,1,2,3,2,4,2,1,,2,3,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,2019
2,55,13,2,2,1,5,4,1,4,1.0,,,,,,,,3,1,2,3,2,4,2,1,,2,4,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,22.0,,,,,,,,,,,,,,,,,,,,,,2019
3,55,*,1,1,*,*,3,1,3,3.0,,,,,,,,4,1,1,3,2,4,3,1,,1,3,4.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,10.0,11.0,14.0,19.0,,,,,,,,,,,,,,,,,,,2019
4,55,11,2,2,2,11,3,1,1,1.0,3.0,,,,,,,8,2,1,3,4,3,3,1,,2,3,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,2019
5,55,9,1,2,1,4,3,1,2,1.0,3.0,,,,,,,8,2,1,3,2,3,2,1,,2,3,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,22.0,,,,,,,,,,,,,,,,,,,,,,2019
6,55,9,1,1,1,9,3,1,2,1.0,,,,,,,,7,2,1,3,2,2,2,1,,2,2,2.0,2.0,2.0,4.0,3.0,1.0,2.0,3.0,22.0,,,,,,,,,,,,,,,,,,,,,,2019
7,55,12,1,1,2,11,4,1,2,1.0,3.0,,,,,,,7,1,1,3,3,3,3,1,,2,3,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,10.0,14.0,20.0,,,,,,,,,,,,,,,,,,,2019
8,55,1,1,1,2,11,3,1,2,1.0,3.0,,,,,,,8,1,2,3,2,3,2,1,,2,2,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,22.0,,,,,,,,,,,,,,,,,,,,,,2019
9,55,2,1,1,2,5,3,1,3,1.0,,,,,,,,8,1,2,2,2,2,2,1,,2,2,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,6.0,7.0,15.0,,,,,,,,,,,,,,,,,,,,2019
