,연령,시_1_군_0,동_1_읍면_0,성별,최종학력,장애판정,가구월평균소득,여가문화생활_만족도,경제적_만족도,건강상태_만족도,전반적인삶_만족도,년도,직업_1,직업_11,직업_14,직업_15,직업_2,직업_3,직업_4,직업_5,직업_6,직업_7,직업_8,직업_9,광역시도_광역시,광역시도_도,광역시도_특별시,가구거주형태_1,가구거주형태_2,가구거주형태_3,가구거주형태_4,온라인_교육_여부,pc_노트북_보유,피처폰_보유,스마트폰_태블릿PC_보유,뉴스_날씨,미디어콘텐츠,SNS,앱 검색 및 설치,형제자매_존재,부모_존재,배우자_존재,동거자녀_존재,y
0,55.0,1.0,1.0,0.0,3.0,0.0,4.0,3.0,2.0,3.0,2.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,55.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,2.0,4.0,2.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
3,55.0,0.0,0.0,0.0,3.0,0.0,8.0,3.0,4.0,3.0,3.0,2019.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1
6,55.0,1.0,1.0,0.0,4.0,0.0,7.0,3.0,3.0,3.0,3.0,2019.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1
8,55.0,1.0,1.0,0.0,3.0,0.0,8.0,2.0,2.0,2.0,2.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2
10,55.0,1.0,1.0,1.0,4.0,0.0,8.0,2.0,3.0,3.0,3.0,2019.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1
12,55.0,1.0,1.0,0.0,3.0,0.0,8.0,3.0,2.0,3.0,3.0,2019.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
14,55.0,1.0,1.0,0.0,3.0,0.0,8.0,2.0,2.0,3.0,2.0,2019.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1
15,55.0,1.0,1.0,0.0,3.0,0.0,8.0,2.0,2.0,3.0,2.0,2019.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4
16,55.0,1.0,1.0,0.0,3.0,0.0,8.0,2.0,2.0,3.0,2.0,2019.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4
