,구,장애판정,온라인_교육_여부,pc_노트북_보유,피처폰_보유,스마트폰_태블릿PC_보유,뉴스_날씨,미디어콘텐츠,SNS,앱 검색 및 설치,직업,동_1_읍면_0,형제자매_존재,동거자녀_존재,부모_존재,배우자_존재,성별,최종학력,가구거주형태,건강상태,경제적_만족도,건강상태_만족도,여가문화생활_만족도,전반적인삶_만족도,가구월평균소득,만족도,디지털 기기 접근성,디지털 기기 활용성,연령
0,강서구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,2,2.0,2.0,2.0,2.0,2.0,7,9.142857142857142,1.5,1.3571428571428572,73.0
1,금정구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,"[1, 3]",2.0,2.0,2.0,2.0,2.0,4,8.99390243902439,1.0975609756097562,1.1219512195121952,73.8490566
2,기장군,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,2,2.0,2.0,2.0,2.0,2.0,9,8.55,1.2333333333333334,1.4666666666666666,69.81818182
3,남구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,3,2,2.0,3.0,2.0,3.0,2.0,4,9.610576923076923,1.0961538461538463,1.3461538461538463,73.55172414
4,동구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,3,2,2.0,2.0,2.0,2.0,2.0,8,9.25,1.173913043478261,0.7391304347826086,74.36
5,동래구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,2,2.0,2.0,2.0,2.0,2.0,5,9.357142857142858,1.0204081632653061,0.8571428571428571,73.03703704
6,북구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,2,2.0,2.0,2.0,2.0,2.0,5,8.823529411764707,1.2549019607843137,1.4901960784313726,72.33333333
7,사상구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,2,2.0,2.0,2.0,2.0,2.0,6,8.701219512195122,1.1951219512195121,1.5609756097560976,71.3255814
8,사하구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2,2.0,3.0,2.0,2.0,2.0,4,9.638392857142858,1.1071428571428572,0.8571428571428571,73.75384615
9,서구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,2,2.0,2.0,2.0,2.0,2.0,5,9.392857142857142,1.0,0.6190476190476191,73.86206897
10,수영구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,"[1, 2]",2.0,2.0,2.0,2.0,2.0,5,8.573170731707316,1.3414634146341464,1.3902439024390243,70.04878049
11,연제구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,"[2, 3]","[1, 2]",2.0,2.0,2.0,2.0,2.0,7,8.813953488372093,1.2093023255813953,1.744186046511628,70.25
12,영도구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2,2.0,2.0,2.0,2.0,2.0,4,9.25,1.21875,0.96875,73.38235294
13,중구,0,0,0,0,1,[0 1],0,0,0,[0 1],1,1,0,0,1,[0 1],1,2,2.0,2.0,2.0,3.0,2.0,5,9.25,1.2,1.2,73.08333333
14,진구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,3,2,2.0,2.0,2.0,2.0,2.0,4,9.142857142857142,1.2063492063492063,1.1587301587301588,72.51315789
15,해운대구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,3,2,2.0,2.0,2.0,2.0,2.0,5,9.205882352941176,1.161764705882353,1.0,74.06493506
