,연령,광역시도,시_1_군_0,동_1_읍면_0,성별,직업,최종학력,장애판정,가구거주형태,가구월평균소득,여가문화생활_만족도,경제적_만족도,건강상태_만족도,전반적인삶_만족도,년도,온라인_교육_여부,pc_노트북_보유,피처폰_보유,스마트폰_태블릿PC_보유,뉴스_날씨,미디어콘텐츠,SNS,앱 검색 및 설치,형제자매_존재,부모_존재,배우자_존재,동거자녀_존재,y
0,55,강원도,1,1,0,4,3,0,1,4,3,2,3,2,2019,0,1,0,1,0,0,0,0,0,0,0,0,1
1,55,경상도,0,0,0,5,2,0,1,4,3,2,4,2,2019,0,1,0,1,1,0,0,1,0,0,0,0,2
3,55,충청도,0,0,0,11,3,0,1,8,3,4,3,3,2019,0,1,0,1,0,0,0,1,0,0,1,1,1
6,55,충청도,1,1,0,11,4,0,2,7,3,3,3,3,2019,0,1,0,1,0,0,0,1,0,0,1,1,1
8,55,부산,1,1,0,5,3,0,3,8,2,2,2,2,2019,0,1,0,1,1,0,1,0,0,0,1,0,2
10,55,서울,1,1,1,3,4,0,3,8,2,3,3,3,2019,1,1,0,1,1,1,1,0,0,0,1,1,1
12,55,서울,1,1,0,11,3,0,2,8,3,2,3,3,2019,0,1,0,1,1,1,0,1,0,0,1,1,1
14,55,서울,1,1,0,11,3,0,2,8,2,2,3,2,2019,0,1,0,1,1,1,1,1,0,0,1,1,1
15,55,서울,1,1,0,11,3,0,2,8,2,2,3,2,2019,0,1,0,1,1,1,0,1,0,0,1,0,4
16,55,서울,1,1,0,11,3,0,2,8,2,2,3,2,2019,0,1,0,1,1,1,0,1,0,0,1,0,4
18,55,서울,1,1,1,7,3,0,2,7,2,2,3,3,2019,0,1,0,1,1,1,1,1,0,0,1,1,2
20,55,인천,1,1,1,4,3,0,2,8,4,2,2,3,2019,1,1,0,1,1,1,1,1,0,0,1,1,1
21,55,경상도,1,1,0,11,4,0,2,8,4,4,4,4,2019,1,1,0,1,1,1,1,1,0,0,1,1,1
22,55,광주,1,1,1,9,3,0,2,7,3,3,3,3,2019,1,1,0,1,1,1,1,1,0,0,1,0,3
24,55,서울,1,1,1,3,4,0,2,7,3,4,4,3,2019,1,1,0,1,1,1,0,1,0,0,1,1,1
25,55,경상도,1,0,1,4,3,0,1,7,4,3,4,3,2019,0,1,0,1,1,1,1,1,0,0,1,1,1
26,55,대전,1,1,1,3,4,0,2,7,3,3,3,3,2019,1,1,0,1,1,1,1,1,0,0,1,0,5
28,55,부산,1,1,1,8,3,0,3,7,3,3,3,4,2019,1,1,0,1,1,1,1,1,0,0,1,1,4
30,55,강원도,1,1,0,4,3,0,2,5,3,3,2,3,2019,0,1,0,1,1,0,0,0,0,0,0,1,1
31,55,경기도,1,1,0,11,3,1,2,6,3,2,3,3,2019,0,1,0,1,0,0,0,0,0,0,1,1,1
33,55,전라도,0,0,1,5,3,0,1,5,3,3,3,3,2019,0,1,0,1,1,1,0,0,0,0,1,1,2
35,55,강원도,1,1,1,5,4,0,1,6,3,3,3,3,2019,1,1,0,1,1,0,0,1,0,0,0,1,1
36,55,전라도,0,0,1,4,3,0,1,6,3,4,3,3,2019,0,1,0,1,1,1,1,0,0,0,1,0,2
38,55,충청도,0,0,0,11,3,0,2,5,4,3,4,4,2019,0,1,0,1,1,1,1,1,0,0,1,0,3
42,55,광주,1,1,0,11,3,0,1,6,2,2,3,4,2019,0,1,0,1,0,0,0,1,0,1,1,0,2
43,55,서울,1,1,1,7,3,0,2,6,3,3,3,4,2019,0,1,0,1,1,1,1,1,0,0,0,0,4
44,55,서울,1,1,1,3,4,0,3,5,4,3,4,3,2019,0,1,0,1,1,0,1,0,0,0,1,1,5
45,55,경기도,1,1,0,14,4,0,3,6,3,3,3,3,2019,0,1,0,1,1,1,1,1,0,0,0,0,4
46,55,경기도,1,1,0,9,2,0,2,10,2,2,2,3,2019,0,1,0,1,0,0,0,0,0,0,1,1,1
47,55,충청도,0,0,1,6,3,0,1,9,2,3,3,3,2019,0,1,0,1,1,0,0,0,0,0,1,1,2
49,55,강원도,1,1,0,4,3,0,1,9,3,3,3,3,2019,0,1,0,1,1,0,1,0,0,0,1,0,1
50,55,서울,1,1,0,11,3,0,2,10,2,2,2,2,2019,0,1,0,1,0,1,0,1,0,0,1,1,1
51,55,경기도,1,1,0,5,3,0,3,9,3,3,4,3,2019,0,1,0,1,1,0,0,0,0,0,1,1,1
52,55,충청도,1,0,0,4,3,0,1,9,2,2,3,2,2019,0,1,0,1,1,0,0,1,0,0,1,1,1
53,55,충청도,1,1,0,5,3,0,2,9,3,2,2,2,2019,0,1,0,1,1,0,0,1,0,0,1,1,3
56,55,경상도,1,1,0,5,3,0,1,10,3,4,4,4,2019,0,1,0,1,1,1,0,1,0,0,1,1,2
57,55,서울,1,1,0,5,3,0,1,10,3,2,2,3,2019,0,1,0,1,1,1,0,1,0,0,1,1,2
59,55,대구,0,0,0,5,4,0,2,11,2,3,2,4,2019,0,1,0,1,1,1,0,1,0,0,1,1,1
60,55,전라도,0,0,1,8,4,0,2,9,2,2,2,2,2019,0,1,0,1,1,0,0,0,0,0,1,1,2
61,55,서울,1,1,1,3,4,0,1,10,3,3,3,3,2019,0,1,0,1,1,1,1,0,0,0,1,1,5
62,55,서울,1,1,1,5,3,0,3,11,3,3,3,3,2019,0,1,0,1,1,1,0,1,0,0,1,0,4
64,55,경상도,1,1,0,4,3,0,2,10,3,2,3,2,2019,0,1,0,1,0,0,1,1,0,0,1,1,1
65,55,인천,1,1,1,5,3,0,2,11,2,2,2,2,2019,0,1,0,1,1,0,0,1,0,0,1,1,1
66,55,광주,1,1,1,7,4,0,1,9,3,2,3,4,2019,0,1,0,1,1,0,0,1,0,0,1,1,1
68,55,강원도,1,1,0,11,4,0,2,9,3,3,3,3,2019,0,1,0,1,1,1,0,1,0,0,1,1,1
